episode,outcome,reward,loss,epsilon,buffer,moves
579,W,10.53,0.39,0.055,50000,20
580,W,10.52,0.354,0.055,50000,25
581,W,11.46,0.406,0.054,50000,40
582,W,10.54,0.447,0.054,50000,27
583,W,12.86,0.508,0.054,50000,34
584,W,10.76,0.232,0.054,50000,34
585,W,10.72,0.44,0.053,50000,18
586,W,10.51,0.442,0.053,50000,13
587,W,10.03,0.5,0.053,50000,12
588,W,10.21,0.342,0.052,50000,10
589,W,10.21,0.374,0.052,50000,14
590,L,-1.56,0.429,0.052,50000,27
591,W,10.53,0.268,0.052,50000,19
592,W,11.26,0.429,0.051,50000,31
593,W,11.82,0.322,0.051,50000,41
594,W,11.22,0.371,0.051,50000,19
595,W,10.43,0.647,0.051,50000,18
596,L,2.17,0.494,0.05,50000,54
597,W,11.88,0.458,0.05,50000,40
598,W,10.02,0.398,0.05,50000,12
599,W,10.44,0.473,0.05,50000,22
600,W,10.46,0.605,0.049,50000,21
601,L,-1.57,0.301,0.049,50000,26
602,W,11.07,0.233,0.049,50000,35
603,W,12.14,0.335,0.049,50000,36
604,W,10.56,0.519,0.048,50000,20
605,W,12.61,0.522,0.048,50000,46
606,W,10.32,0.343,0.048,50000,10
607,W,11.83,0.465,0.048,50000,31
608,W,10.48,0.493,0.047,50000,30
609,L,-0.07,0.399,0.047,50000,52
610,W,10.95,0.608,0.047,50000,34
611,W,10.26,0.477,0.047,50000,20
612,W,10.44,0.362,0.047,50000,24
613,W,10.21,0.479,0.046,50000,12
614,W,11.58,0.384,0.046,50000,53
615,W,11.17,0.476,0.046,50000,40
616,W,12.98,0.486,0.046,50000,46
617,W,10.55,0.4,0.045,50000,25
618,W,10.56,0.383,0.045,50000,24
619,W,11.06,0.466,0.045,50000,33
620,W,10.83,0.546,0.045,50000,20
621,W,10.85,0.411,0.044,50000,27
622,W,10.24,0.437,0.044,50000,19
623,W,11.32,0.639,0.044,50000,39
624,W,10.2,0.388,0.044,50000,9
625,W,12.86,0.474,0.044,50000,46
626,W,10.23,0.519,0.043,50000,18
627,W,10.86,0.567,0.043,50000,27
628,W,11.74,0.344,0.043,50000,32
629,W,10.96,0.401,0.043,50000,33
630,W,10.51,0.648,0.043,50000,18
631,W,10.31,0.501,0.042,50000,10
632,W,10.32,0.519,0.042,50000,11
633,L,-1.03,0.286,0.042,50000,39
634,W,10.32,0.511,0.042,50000,18
635,W,12.37,0.49,0.041,50000,43
636,W,10.22,0.493,0.041,50000,15
637,W,10.31,0.439,0.041,50000,9
638,W,10.5,0.573,0.041,50000,11
639,W,10.86,0.393,0.041,50000,27
640,W,10.58,0.411,0.04,50000,30
641,W,10.4,0.51,0.04,50000,37
642,W,10.03,0.522,0.04,50000,16
643,W,10.52,0.39,0.04,50000,12
644,W,10.53,0.656,0.04,50000,19
645,L,-1.24,0.564,0.039,50000,33
646,W,10.97,0.405,0.039,50000,24
647,W,10.52,0.358,0.039,50000,14
648,W,10.72,0.618,0.039,50000,19
649,W,10.34,0.681,0.039,50000,15
650,W,10.54,0.239,0.038,50000,16
651,W,10.73,0.47,0.038,50000,22
652,W,10.51,0.385,0.038,50000,10
653,W,12.36,0.478,0.038,50000,29
654,W,11.26,0.377,0.038,50000,35
655,W,10.22,0.507,0.038,50000,15
